package,module,total_time,parser_time,parser_percentage,size,extension
lens-5.3.2,Aeson,307.0969999999999,2.999,0.9765644079883556,0,0
lens-5.3.2,Control.Exception.Lens,1327.3269999999998,14.87,1.1202966563627503,53609,.hs
lens-5.3.2,Control.Lens,9.007,1.74,19.31830798268014,2625,.hs
lens-5.3.2,Control.Lens.At,1719.3459999999998,7.396,0.4301635621916706,18294,.hs
lens-5.3.2,Control.Lens.Combinators,8.397999999999998,3.659,43.569897594665406,2187,.hs
lens-5.3.2,Control.Lens.Cons,1681.78,6.137,0.3649109871683573,18259,.hs
lens-5.3.2,Control.Lens.Each,1056.648,4.85,0.4589986447710117,9877,.hs
lens-5.3.2,Control.Lens.Empty,482.413,4.575,0.948357527678566,5164,.hs
lens-5.3.2,Control.Lens.Equality,51.465,2.584,5.0208879821237735,4952,.hs
lens-5.3.2,Control.Lens.Extras,8.780000000000001,0.306,3.485193621867881,833,.hs
lens-5.3.2,Control.Lens.Fold,963.46,25.961,2.6945591929088906,6878,.hs
lens-5.3.2,Control.Lens.Getter,94.72900000000001,4.956,5.231766407330384,4324,.hs
lens-5.3.2,Control.Lens.Indexed,283.53899999999993,5.281,1.86253037501014,13984,.hs
lens-5.3.2,Control.Lens.Internal,5.388999999999999,0.247,4.583410651326777,1572,.hs
lens-5.3.2,Control.Lens.Internal.Bazaar,968.28,10.642,1.099062254719709,13104,.hs
lens-5.3.2,Control.Lens.Internal.ByteString,288.95,5.087,1.7605121993424468,8649,.hs
lens-5.3.2,Control.Lens.Internal.CTypes,19.781,0.233,1.1778979829128964,1145,.hs
lens-5.3.2,Control.Lens.Internal.Context,533.491,6.45,1.2090175841766777,12567,.hs
lens-5.3.2,Control.Lens.Internal.Deque,2661.626,5.565,0.2090827186088504,6008,.hs
lens-5.3.2,Control.Lens.Internal.Doctest,27.274,0.436,1.5985920657036004,2119,.hs
lens-5.3.2,Control.Lens.Internal.Exception,106.02000000000002,2.567,2.421241275231088,8407,.hs
lens-5.3.2,Control.Lens.Internal.FieldTH,2001.512,7.014,0.3504350710862588,26466,.hs
lens-5.3.2,Control.Lens.Internal.Fold,239.50599999999997,5.305,2.2149758252402862,6878,.hs
lens-5.3.2,Control.Lens.Internal.Getter,824.5889999999999,1.927,0.23369217877027226,4324,.hs
lens-5.3.2,Control.Lens.Internal.Indexed,590.52,9.566,1.6199281988755674,13984,.hs
lens-5.3.2,Control.Lens.Internal.Instances,6.029,0.239,3.9641731630452806,686,.hs
lens-5.3.2,Control.Lens.Internal.Iso,405.75000000000006,4.317,1.0639556377079482,3238,.hs
lens-5.3.2,Control.Lens.Internal.Level,783.262,4.424,0.5648173918816438,6496,.hs
lens-5.3.2,Control.Lens.Internal.List,68.001,3.158,4.644049352215409,2247,.hs
lens-5.3.2,Control.Lens.Internal.Magma,596.322,4.91,0.8233806567592677,10233,.hs
lens-5.3.2,Control.Lens.Internal.Prelude,33.91199999999999,2.539,7.487025241802314,3410,.hs
lens-5.3.2,Control.Lens.Internal.Prism,44.961,0.703,1.563577322568448,2012,.hs
lens-5.3.2,Control.Lens.Internal.PrismTH,896.836,4.714,0.5256256439304399,17022,.hs
lens-5.3.2,Control.Lens.Internal.Profunctor,53.775999999999996,0.54,1.0041654269562632,548,.hs
lens-5.3.2,Control.Lens.Internal.Review,15.683,0.839,5.349741758592106,1463,.hs
lens-5.3.2,Control.Lens.Internal.Setter,54.867000000000004,2.196,4.002405817704631,1861,.hs
lens-5.3.2,Control.Lens.Internal.TH,237.518,4.182,1.7607086620803478,8265,.hs
lens-5.3.2,Control.Lens.Internal.Zoom,794.385,5.784,0.7281104250457902,12534,.hs
lens-5.3.2,Control.Lens.Iso,190.834,6.479,3.3950973097037216,3238,.hs
lens-5.3.2,Control.Lens.Lens,480.526,13.492,2.8077565001685656,55302,.hs
lens-5.3.2,Control.Lens.Level,91.706,2.383,2.5985213617429612,6496,.hs
lens-5.3.2,Control.Lens.Operators,4.318,1.072,24.826308476146366,2393,.hs
lens-5.3.2,Control.Lens.Plated,632.0600000000001,9.023,1.427554346106382,30433,.hs
lens-5.3.2,Control.Lens.Prism,378.99300000000005,4.565,1.2045077349713582,2012,.hs
lens-5.3.2,Control.Lens.Profunctor,42.577,2.554,5.998543814735656,548,.hs
lens-5.3.2,Control.Lens.Properties,542.397,2.306,0.4251498441178694,0,0
lens-5.3.2,Control.Lens.Reified,1780.438,8.191,0.4600553346985405,17395,.hs
lens-5.3.2,Control.Lens.Review,48.49799999999999,2.739,5.647655573425709,1463,.hs
lens-5.3.2,Control.Lens.Setter,281.12,10.183,3.6222965281730217,1861,.hs
lens-5.3.2,Control.Lens.TH,954.027,6.485,0.6797501538216424,8265,.hs
lens-5.3.2,Control.Lens.Traversal,1269.674,22.619,1.781480915573604,56665,.hs
lens-5.3.2,Control.Lens.Tuple,6045.227000000001,37.619,0.622292595464157,51869,.hs
lens-5.3.2,Control.Lens.Type,15.385,5.089,33.07767305817355,23252,.hs
lens-5.3.2,Control.Lens.Unsound,57.17600000000001,1.971,3.4472505946550998,2945,.hs
lens-5.3.2,Control.Lens.Wrapped,2804.7890000000007,25.57,0.911655030021866,44228,.hs
lens-5.3.2,Control.Lens.Zoom,230.715,4.08,1.7684155776607504,12534,.hs
lens-5.3.2,Control.Monad.Error.Lens,147.872,4.348,2.9403808699415706,9348,.hs
lens-5.3.2,Control.Parallel.Strategies.Lens,19.54,2.814,14.401228249744117,2625,.hs
lens-5.3.2,Control.Seq.Lens,11.002,0.274,2.490456280676241,863,.hs
lens-5.3.2,Data.Array.Lens,54.038000000000004,0.465,0.8605055701543358,1125,.hs
lens-5.3.2,Data.Bits.Lens,139.233,3.2,2.2983057177536934,10888,.hs
lens-5.3.2,Data.ByteString.Lazy.Lens,24.353,2.262,9.288383361392846,4834,.hs
lens-5.3.2,Data.ByteString.Lens,112.63900000000001,3.514,3.119700991663633,4834,.hs
lens-5.3.2,Data.ByteString.Strict.Lens,25.011000000000003,3.634,14.529606972931909,4696,.hs
lens-5.3.2,Data.Complex.Lens,63.99700000000001,2.057,3.214213166242167,4207,.hs
lens-5.3.2,Data.Data.Lens,1881.3790000000001,6.921,0.36786846244164517,16147,.hs
lens-5.3.2,Data.Dynamic.Lens,44.273,0.471,1.0638538160955886,1670,.hs
lens-5.3.2,Data.HashSet.Lens,49.915,0.562,1.125914053891616,2099,.hs
lens-5.3.2,Data.IntSet.Lens,30.376,0.425,1.3991308928101132,2046,.hs
lens-5.3.2,Data.List.Lens,3.4219999999999997,0.274,8.007013442431328,3042,.hs
lens-5.3.2,Data.Map.Lens,5.888000000000001,0.822,13.960597826086953,3593,.hs
lens-5.3.2,Data.Sequence.Lens,47.540000000000006,1.003,2.1098022717711395,4124,.hs
lens-5.3.2,Data.Set.Lens,23.224,3.36,14.467791939373061,2006,.hs
lens-5.3.2,Data.Text.Lazy.Lens,322.123,1.218,0.37811643378461024,4136,.hs
lens-5.3.2,Data.Text.Lens,252.82000000000002,2.234,0.8836326240012656,4136,.hs
lens-5.3.2,Data.Text.Strict.Lens,165.17,1.181,0.7150208875703821,4001,.hs
lens-5.3.2,Data.Tree.Lens,11.266,0.481,4.269483401384697,1036,.hs
lens-5.3.2,Data.Typeable.Lens,29.514,0.581,1.9685572948431251,1151,.hs
lens-5.3.2,Data.Vector.Generic.Lens,781.308,2.724,0.34864611651231014,5174,.hs
lens-5.3.2,Data.Vector.Lens,298.806,3.697,1.2372576186555826,5174,.hs
lens-5.3.2,GHC.Generics.Lens,83.904,2.463,2.9354977116704806,4131,.hs
lens-5.3.2,Ghci1,0.501,0.0,0.0,0,0
lens-5.3.2,Language.Haskell.TH.Lens,3073.7619999999997,25.033,0.8144091832744371,75200,.hs
lens-5.3.2,Main,1089.036,5.925,0.5440591495597941,0,0
lens-5.3.2,Numeric.Lens,446.7869999999999,3.509,0.7853854297461654,2308,.hs
lens-5.3.2,Numeric.Natural.Lens,76.69300000000001,0.927,1.2087152673646877,2308,.hs
lens-5.3.2,Plates,806.7259999999999,0.886,0.10982663258652878,0,0
lens-5.3.2,System.Exit.Lens,62.795,2.69,4.283780555776734,2449,.hs
lens-5.3.2,System.FilePath.Lens,60.452,1.437,2.377092569311189,9129,.hs
lens-5.3.2,System.IO.Error.Lens,240.44899999999998,1.095,0.4553980261926646,3387,.hs
lens-5.3.2,Turtle,381.56600000000003,0.884,0.23167682655163194,0,0
lens-5.3.2,expr,1.2469999999999999,0.0,0.0,0,0
